ID,Chromosome,Duplication Status,Ka,Ks,Ka/Ks,dSM, Expression Level,Tissue Specificity,Gene Length,Intron Number,Average Intron Length,5' UTR Length,3' UTR Length,Fop,GC Content,Multifunctionality,Recombination rate,Chromosome position
AT1G75290,1,Early WGDs,0.0317,0.1441,0.2203,0.048,21.48615821,0.583620496,1284,4,81.75,NA,NA,0.452,43.99164054,1,2.71,0.837344287
AT1G75350,1,Singletons,0.0147,0.1913,0.0767,NA,4242.329155,0.14675573,762,1,90,92,145,0.394,44.59770115,5,2.72,0.838682884
AT1G75370,1,Recent WGDs,0.0184,0.1213,0.1518,0.047,214.3648367,0.17168476,3473,13,100.2307692,100,231,0.39,42.14246873,1,2.72,0.839116964
AT1G75380,1,Recent WGDs,0.0081,0.1186,0.068,0.127,101.0053212,0.188859165,2657,9,123,172,400,0.348,42.7402863,NA,2.72,0.839452295
AT1G75400,1,Recent WGDs,0.0181,0.1251,0.1444,0.082,115.5027573,0.250035656,2768,4,205,358,222,0.406,45.97953216,3,2.72,0.840636262
AT1G75410,1,Recent WGDs,0.0106,0.142,0.0748,0.067,358.4084269,0.248850692,2812,4,168.25,261,303,0.413,41.01587302,4,2.72,0.840819993
AT1G75420,1,Recent WGDs,0.0283,0.1479,0.191,0.056,124.746509,0.177318319,2207,4,114.25,172,186,0.353,43.46264368,1,2.72,0.841224
AT1G75450,1,Non WGDs,0.0111,0.1638,0.0678,0.028,120.9773397,0.374411882,3905,4,298.5,298,790,0.402,48.79852126,2,2.7,0.841991766
AT1G75460,1,Recent WGDs,0.0103,0.2248,0.0457,0.029,730.9451809,0.272634221,1879,NA,NA,100,942,0.418,45.51971326,NA,2.69,0.842870623
AT1G75470,1,Recent WGDs,0.0801,0.1598,0.5012,0.191,9.731687177,0.319681173,1229,1,83,NA,NA,0.47,46.59685864,1,2.69,0.843041338
AT1G75500,1,Non WGDs,0.0087,0.1231,0.0707,0.066,1371.621954,0.235470913,2457,5,128,150,497,0.508,48.54700855,NA,2.67,0.843677253
AT1G75510,1,Non WGDs,0.0802,0.1456,0.5507,0.097,276.1136048,0.1033327,1681,4,147.5,106,199,0.414,44.91094148,3,2.66,0.844332207
AT1G75520,1,Recent WGDs,0.0206,0.1567,0.1315,0.002,15.39794347,0.375899066,1934,1,360,316,217,0.419,45.43707973,1,2.66,0.844671653
AT1G75580,1,Recent WGDs,0.0041,0.0984,0.0418,0.021,100.6607984,0.396593054,718,NA,NA,69,322,0.408,47.09480122,1,2.62,0.84655789
AT1G75590,1,Recent WGDs,0.0187,0.1616,0.1154,0.031,21.62339574,0.600995351,873,NA,NA,54,354,0.426,49.89247312,1,2.62,0.84699096
AT1G75620,1,Recent WGDs,0.0403,0.1561,0.2582,0.088,7.418595901,0.556554952,1818,NA,NA,2,172,0.471,47.20194647,1,2.6,0.847910402
AT1G75640,1,Early WGDs,0.03,0.2109,0.1423,0.023,75.96708948,0.396605827,3586,NA,NA,29,134,0.424,46.53812445,4,2.59,0.848623969
AT1G75670,1,Singletons,0.0153,0.1911,0.0801,0.115,87.39653925,0.19323329,1424,5,107.4,122,174,0.377,41.28595601,1,2.57,0.849419227
AT1G75680,1,Recent WGDs,0.0138,0.1258,0.1095,0.144,1002.460622,0.158651219,2478,5,87.8,298,163,0.384,43.21926489,1,2.57,0.849589904
AT1G75730,1,Singletons,0.0351,0.1553,0.2257,0.137,70.56685815,0.295162272,3962,10,122.3,684,285,0.409,42.09039548,1,2.55,0.851031027
AT1G75770,1,Singletons,0.0555,0.1632,0.3401,0.152,32.46962099,0.498283249,1119,2,128.5,32,137,0.388,42.27994228,1,2.53,0.852004256
AT1G75780,1,Recent WGDs,0.005,0.2408,0.0208,0.221,344.4243807,0.346510766,2500,2,440.5,38,237,0.543,47.02380952,2,2.53,0.852153388
AT1G75790,1,Non WGDs,0.0333,0.1444,0.2304,0.172,43.81262334,0.699524848,2748,7,110.1428571,140,199,0.402,43.95604396,NA,2.52,0.852429733
AT1G75810,1,Singletons,0.0039,0.1015,0.0388,0.07,147.0969583,0.287572612,703,NA,NA,83,242,0.521,53.17460317,1,2.52,0.852859998
AT1G75820,1,Non WGDs,0.026,0.1772,0.1468,0.083,554.8499371,0.172144894,3510,1,79,319,169,0.454,44.64831804,5,2.51,0.853099836
AT1G75850,1,Early WGDs,0.004,0.1088,0.0369,NA,140.9605849,0.158444536,6161,21,164.2380952,54,285,0.359,43.53139486,2,2.49,0.854283466
AT1G75860,1,Recent WGDs,0.076,0.237,0.3207,0.074,286.8666146,0.193030522,1789,2,297.5,208,92,0.353,41.38702461,1,2.49,0.854585358
AT1G75870,1,Singletons,0.0631,0.1851,0.3407,0.019,273.4057554,0.664050432,1165,1,85,303,279,0.34,44.17670683,1,2.49,0.85472181
AT1G75990,1,Recent WGDs,0.0156,0.2625,0.0595,0.765,263.1619475,0.109848751,2284,6,105.3333333,58,130,0.469,46.03825137,3,2.44,0.857627957
AT1G76060,1,Singletons,0.0351,0.2301,0.1525,0.072,95.70307867,0.306022187,751,NA,NA,10,267,0.4,51.47679325,NA,2.42,0.859061748
AT1G76065,1,Singletons,0.0257,0.1696,0.1515,0.123,101.0053212,0.188859165,1039,1,165,70,561,0.408,41.56378601,NA,2.41,0.859173887
AT1G76070,1,Recent WGDs,0.0392,0.2051,0.1911,0.018,54.58037554,0.338197892,1230,NA,NA,235,176,0.479,44.44444444,1,2.41,0.859317783
AT1G76090,1,Recent WGDs,0.0193,0.2058,0.0939,0.604,520.1234103,0.257535435,1373,NA,NA,110,183,0.485,47.59259259,2,2.41,0.859624912
AT1G76100,1,Recent WGDs,0.0444,0.1936,0.2294,0.313,3166.330732,0.210433529,782,NA,NA,36,230,0.47,51.5503876,NA,2.4,0.859874998
AT1G76110,1,Non WGDs,0.0173,0.1544,0.1121,0.019,116.4598809,0.347093519,2545,5,232.4,121,245,0.388,43.85447394,3,2.4,0.860017248
AT1G76130,1,Non WGDs,0.0076,0.1509,0.0507,0.146,253.5885443,0.35648107,2796,12,108.75,87,162,0.437,44.44444444,3,2.39,0.860496363
AT1G76140,1,Recent WGDs,0.0178,0.0957,0.1863,0.517,702.8611531,0.075087192,3907,11,116.1818182,57,184,0.404,44.639866,3,2.38,0.861262334
AT1G76160,1,Non WGDs,0.0155,0.2316,0.0671,0.256,1407.268053,0.168225868,3192,7,169.1428571,113,269,0.452,47.41697417,NA,2.37,0.861755775
AT1G76170,1,Non WGDs,0.0203,0.1475,0.1375,0.124,84.17361288,0.142331427,2187,9,116.4444444,NA,140,0.398,42.14214214,2,2.37,0.862173696
AT1G76190,1,Recent WGDs,0.0297,0.1649,0.1803,0.084,20.31598607,0.275947708,372,NA,NA,NA,NA,0.409,43.01075269,1,2.36,0.862712957
AT1G76200,1,Singletons,0,0.0466,0.001,0.505,3731.470395,0.072410909,1493,3,311.3333333,101,248,0.459,53.33333333,1,2.36,0.862806843
AT1G76210,1,Recent WGDs,0.0189,0.0785,0.2403,0.007,11.54702889,0.539765722,1032,NA,NA,99,252,0.392,43.31864905,1,2.36,0.862947222
AT1G76250,1,Singletons,0.0331,0.2103,0.1572,0.221,6.283076998,0.569225314,2679,1,1077,186,111,0.422,49.80842912,1,2.34,0.863860604
AT1G76290,1,Non WGDs,0.0449,0.1443,0.311,0.496,18.69482759,0.595409125,1966,3,108.3333333,NA,NA,0.408,47.04448507,1,2.32,0.865107971
AT1G76310,1,Recent WGDs,0.0184,0.1281,0.1438,0.08,76.73483047,0.390106281,2349,11,91.09090909,51,NA,0.4,41.66666667,1,2.32,0.86545935
AT1G76340,1,Non WGDs,0.0132,0.2223,0.0595,0.202,165.7284391,0.119057935,1762,1,187,223,233,0.403,43.78909741,NA,2.31,0.865954923
AT1G76370,1,Non WGDs,0.0118,0.1695,0.0696,0.199,219.0080137,0.755698488,2036,5,86.8,245,211,0.386,44.06631763,3,2.29,0.866979995
AT1G76380,1,Recent WGDs,0.0421,0.1674,0.2516,0.409,109.6463966,0.171654865,3424,8,172.25,41,262,0.384,43.43086632,1,2.29,0.867243809
AT1G76390,1,Recent WGDs,0.0175,0.1565,0.1119,0.035,196.011935,0.218872637,3313,3,152.3333333,240,180,0.393,42.24137931,3,2.29,0.867561486
AT1G76405,1,Non WGDs,0.0159,0.1339,0.119,NA,221.2693617,0.214810326,1906,4,294,110,116,0.382,42.26190476,1,2.28,0.86798124
AT1G76410,1,Recent WGDs,0.0242,0.1156,0.2095,0.131,251.9480247,0.342662329,799,NA,NA,67,174,0.451,52.68817204,NA,2.27,0.868457026
AT1G76430,1,Recent WGDs,0.0209,0.2197,0.0953,NA,3.887330641,0.603193516,3061,1,1161,121,180,0.428,47.15447154,1,2.26,0.869302444
AT1G76460,1,Recent WGDs,0.026,0.1396,0.1862,0.048,160.0421849,0.206446833,2941,7,116.8571429,615,650,0.415,47.31934732,1,2.25,0.869842902
AT1G76470,1,Non WGDs,0.0254,0.0928,0.2734,0.199,77.91464618,0.586893782,1680,5,94.6,44,185,0.386,42.22903885,2,2.25,0.870064412
AT1G76490,1,Non WGDs,0.0226,0.1745,0.1294,0.569,1689.472834,0.131419007,3034,3,159,41,587,0.444,48.15966822,2,2.24,0.870537468
AT1G76500,1,Recent WGDs,0.015,0.1379,0.1085,0.022,45.93080273,0.469214965,1036,NA,NA,5,122,0.403,54.89548955,2,2.23,0.871209441
AT1G76510,1,Recent WGDs,0.027,0.1307,0.2067,0.049,207.6234155,0.133015079,4231,13,191.5384615,229,207,0.378,46.51340996,3,2.23,0.871563026
AT1G76520,1,Non WGDs,0.0083,0.2187,0.0381,0.083,642.5284511,0.244462502,2339,9,91.11111111,219,127,0.389,42.62574595,1,2.22,0.871983752
AT1G76540,1,Recent WGDs,0.0043,0.1605,0.0268,0.608,230.3344995,0.303763705,2194,7,122.2857143,170,226,0.447,46.17834395,7,2.22,0.872366476
AT1G76550,1,Recent WGDs,0.0088,0.1113,0.0794,0.179,792.7621051,0.209283639,4305,17,128,77,198,0.428,44.92988134,3,2.21,0.872625465
AT1G76570,1,Non WGDs,0.028,0.1651,0.1693,NA,155.4259058,0.19257592,1694,5,127.8,NA,71,0.337,45.32520325,3,2.21,0.873001643
AT1G76590,1,Recent WGDs,0.0275,0.1398,0.1967,0.236,337.2359531,0.391577793,1517,3,94,184,313,0.485,45.66395664,1,2.2,0.873857571
AT1G76600,1,Recent WGDs,0.0213,0.1238,0.1719,0.352,523.1173896,0.225582452,958,NA,NA,87,220,0.464,44.08602151,3,2.19,0.874300105
AT1G76610,1,Recent WGDs,0.0246,0.2264,0.1087,0.201,101.0053212,0.188859165,864,NA,NA,61,122,0.457,49.92657856,1,2.19,0.874605999
AT1G76620,1,Recent WGDs,0.0235,0.1224,0.1918,0.195,92.51977508,0.229642996,2777,9,84.55555556,266,166,0.395,39.14141414,1,2.18,0.875097495
AT1G76640,1,Non WGDs,0.0129,0.2639,0.0488,0.162,55.72421112,0.700615016,480,NA,NA,NA,NA,0.411,41.04166667,1,2.17,0.875666381
AT1G76650,1,Non WGDs,0.055,0.1986,0.2772,0.1,670.9901554,0.280459944,768,NA,NA,75,159,0.329,39.70037453,1,2.17,0.875786973
AT1G76670,1,Recent WGDs,0.0104,0.1718,0.0604,0.013,1018.362429,0.102183952,2302,4,159,332,290,0.488,43.48659004,1,2.16,0.876277272
AT1G76700,1,Recent WGDs,0.0222,0.1439,0.1542,0.089,112.3803987,0.235601659,2841,9,134.1111111,226,211,0.409,42.43943191,3,2.15,0.876882553
AT1G76720,1,Non WGDs,0.0667,0.1375,0.4853,0.066,75.07496205,0.258079185,6226,15,138,580,NA,0.418,43.48434004,4,2.14,0.877977871
AT1G76730,1,Singletons,0.0258,0.158,0.1631,0.118,452.9893809,0.191370902,1860,5,121.2,81,108,0.383,46.85446009,2,2.13,0.878531907
AT1G76790,1,Non WGDs,0.0133,0.1544,0.0862,0.745,677.6351305,0.437398149,1488,2,86,43,169,0.406,42.66304348,NA,2.11,0.879962594
AT1G76810,1,Recent WGDs,0.0385,0.165,0.2336,0.241,482.6636061,0.095892667,5584,12,99.08333333,147,363,0.407,43.5006435,NA,2.1,0.880773936
AT1G76850,1,Recent WGDs,0.007,0.1049,0.0665,0.567,365.5885729,0.115484142,6549,20,149.85,62,217,0.391,43.75190956,2,2.09,0.882068845
AT1G76860,1,Recent WGDs,0.0095,0.0389,0.2453,0.034,360.9800706,0.116777835,1337,2,373.5,113,180,0.365,48.82154882,1,2.08,0.882365687
AT1G76870,1,Recent WGDs,0.0636,0.2902,0.2192,0.296,44.33900475,0.157280286,1158,NA,NA,NA,NA,0.368,39.89637306,1,2.08,0.882568644
AT1G76900,1,Non WGDs,0.0102,0.2169,0.0468,0.031,279.8779576,0.118479226,2506,4,224.25,73,168,0.437,45.76023392,3,2.06,0.884493521
AT1G76950,1,Non WGDs,0.0106,0.1035,0.1026,0.025,99.92667877,0.108379486,5042,8,132.75,429,239,0.396,44.50483092,1,2.03,0.8864071
AT1G76970,1,Recent WGDs,0.0305,0.0832,0.367,0.135,134.3799451,0.230702874,2739,9,108.6666667,245,175,0.394,44.81730052,2,2.02,0.887507468
AT1G76990,1,Non WGDs,0.0113,0.1248,0.0907,0.015,1517.584086,0.167885763,3378,6,231.1666667,269,360,0.414,45.59471366,1,2.01,0.888288138
AT1G77000,1,Recent WGDs,0.0161,0.1964,0.082,0.013,278.6195248,0.293604429,1847,3,143.6666667,138,195,0.439,43.49030471,5,2,0.888838846
AT1G77010,1,Non WGDs,0.0249,0.1659,0.15,NA,27.32506471,0.23903342,2088,NA,NA,NA,NA,0.392,40.42145594,1,2,0.888996618
AT1G77020,1,Non WGDs,0.0133,0.0863,0.1543,0.013,88.08872773,0.26613593,2189,8,84,164,213,0.429,41.49122807,3,2,0.889161797
AT1G77060,1,Recent WGDs,0.0096,0.2059,0.0465,0.744,239.2492624,0.238757769,1825,5,125.2,60,119,0.41,47.35294118,1,1.99,0.8896604
AT1G77100,1,Non WGDs,0.0279,0.1434,0.1945,0.074,6.266804021,0.497699198,1295,3,94.66666667,NA,NA,0.424,41.93867458,1,1.98,0.890692204
AT1G77110,1,Non WGDs,0.0199,0.1485,0.134,0.3,46.71342014,0.444386606,3802,6,306.8333333,53,195,0.421,48.51138354,1,1.97,0.891156956
AT1G77120,1,Non WGDs,0.0162,0.1519,0.1064,0.061,955.9181659,0.415257565,2024,6,94.66666667,115,201,0.496,47.98245614,4,1.97,0.891436069
AT1G77130,1,Non WGDs,0.0135,0.1809,0.0745,0.471,261.3101888,0.18602898,2452,2,153,117,172,0.402,41.84168013,1,1.97,0.891719184
AT1G77170,1,Non WGDs,0.0369,0.2512,0.147,NA,93.69345474,0.291581686,1491,NA,NA,1,86,0.394,44.94301994,1,1.95,0.893117179
AT1G77210,1,Non WGDs,0.0067,0.1592,0.0424,0.025,167.0546281,0.394872941,2152,3,143.3333333,110,97,0.436,46.60066007,2,1.94,0.893953059
AT1G77220,1,Non WGDs,0.0143,0.0866,0.165,0.046,94.60779219,0.195902618,3087,8,132.75,297,273,0.354,41.64948454,1,1.94,0.894280199
AT1G77240,1,Non WGDs,0.0301,0.1534,0.1959,0.726,33.57666817,0.666491354,1832,NA,NA,194,NA,0.442,49.51159951,1,1.93,0.894609023
AT1G77280,1,Recent WGDs,0.0256,0.0968,0.2642,0.562,133.2342774,0.301744574,4415,10,203,NA,NA,0.392,42.85115304,4,1.92,0.895723567
AT1G77310,1,Recent WGDs,0.0433,0.1172,0.3699,0.105,22.567632,0.437468958,4835,13,181.1538462,166,160,0.366,44.3825441,1,1.91,0.897238451
AT1G77330,1,Non WGDs,0.0028,0.1595,0.0176,0.658,193.710217,0.599931718,1548,3,103,90,225,0.435,45.02164502,1,1.9,0.89797951
AT1G77350,1,Singletons,0.0121,0.0985,0.1228,0.12,605.3066679,0.104408152,1611,4,199.5,90,354,0.458,43.63143631,1,1.89,0.898517388
AT1G77360,1,Non WGDs,0.0202,0.1705,0.1182,NA,40.62339527,0.42041777,1446,NA,NA,NA,NA,0.366,42.73858921,1,1.89,0.898643404
AT1G77380,1,Non WGDs,0.0119,0.0943,0.1261,0.067,70.73228625,0.485425718,2503,6,103.5,138,313,0.358,46.12159329,1,1.89,0.898906807
AT1G77390,1,Non WGDs,0.0384,0.1302,0.2948,0.276,41.1323951,0.514565451,2382,9,100.5555556,148,NA,0.399,43.49134688,1,1.88,0.89941506
AT1G77410,1,Non WGDs,0.026,0.112,0.232,NA,46.71593566,0.533276908,4568,18,107.2222222,116,74,0.384,43.1372549,2,1.88,0.90000897
AT1G77420,1,Non WGDs,0.0242,0.106,0.2285,NA,227.5636824,0.133559952,2218,7,93.28571429,142,274,0.43,44.29939077,NA,1.87,0.900276936
AT1G77440,1,Recent WGDs,0.0042,0.163,0.0256,0.666,719.7067434,0.094776737,2159,6,192.8333333,99,288,0.347,44.3902439,3,1.87,0.900477275
AT1G77450,1,Non WGDs,0.0214,0.2187,0.0977,0.05,315.8564448,0.489925011,1308,2,95.5,75,280,0.382,48.03149606,4,1.87,0.90072306
AT1G77460,1,Non WGDs,0.0117,0.078,0.1495,0.31,132.3283604,0.240750025,8159,6,179.1666667,332,341,0.385,43.48775542,1,1.86,0.901282183
AT1G77470,1,Non WGDs,0.0278,0.1657,0.1675,NA,197.6599484,0.197620053,2488,8,127.5,112,246,0.396,43.96396396,1,1.86,0.901677138
AT1G77480,1,Non WGDs,0.0377,0.1047,0.3596,0.026,151.3747121,0.137824829,2781,8,130.625,188,147,0.392,43.1834404,3,1.86,0.901876804
AT1G77500,1,Recent WGDs,0.026,0.138,0.1883,0.096,60.3878595,0.203201296,3703,3,181.6666667,264,254,0.426,44.73484848,3,1.85,0.9024317
AT1G77510,1,Recent WGDs,0.0239,0.097,0.2469,0.126,723.3153163,0.16713737,2963,9,129.4444444,92,179,0.457,45.0556647,3,1.85,0.902786483
AT1G77520,1,Non WGDs,0.0356,0.1722,0.207,0.739,101.0053212,0.188859165,1778,3,101.6666667,154,173,0.414,43.28097731,2,1.84,0.90302546
AT1G77540,1,Recent WGDs,0.018,0.12,0.1496,NA,205.8411387,0.127976629,587,1,76,30,136,0.491,47.53623188,1,1.84,0.903525933
AT1G77550,1,Singletons,0.0255,0.1563,0.1631,NA,141.5841454,0.214493604,4713,14,136.2857143,46,191,0.379,42.71806854,3,1.84,0.90373207
AT1G77590,1,Non WGDs,0.0078,0.1262,0.0617,0.206,535.7504872,0.317505243,4060,11,140.3636364,195,245,0.404,44.79768786,2,1.83,0.904436099
AT1G77630,1,Recent WGDs,0.0182,0.1551,0.1176,0.174,78.47056643,0.316859846,2074,4,97.5,269,143,0.443,45.59748428,3,1.81,0.906262788
AT1G77640,1,Recent WGDs,0.039,0.0937,0.4159,0.054,73.44236967,0.410370613,939,NA,NA,59,145,0.436,43.1292517,3,1.81,0.906607396
AT1G77670,1,Non WGDs,0.0164,0.165,0.0995,0.371,423.6439331,0.118583375,2075,1,536,74,142,0.489,45.12471655,2,1.8,0.907416008
AT1G77710,1,Singletons,0.0051,0.0536,0.0952,0.013,1282.434038,0.08884272,1511,3,288,115,250,0.495,47.87234043,1,1.79,0.908713983
AT1G77740,1,Recent WGDs,0.0141,0.2388,0.0592,0.198,244.0748123,0.150021247,3683,8,123.125,74,359,0.409,44.37086093,2,1.78,0.909830435
AT1G77760,1,Early WGDs,0.0118,0.182,0.065,0.147,1494.85672,0.249652272,3643,3,203,78,202,0.498,47.85766158,3,1.77,0.91098545
AT1G77765,1,Singletons,0.1297,0.2085,0.622,0.198,101.0053212,0.188859165,1188,1,351,31,278,0.341,43.18181818,1,1.76,0.911571505
AT1G77780,1,Non WGDs,0.0803,0.2943,0.273,0.175,3.938580198,0.523080027,1229,NA,NA,NA,137,0.406,43.95604396,1,1.76,0.911830531
AT1G77790,1,Non WGDs,0.0496,0.2072,0.2395,0.244,3.620636952,0.367990089,1285,1,244,NA,NA,0.438,49.18347743,1,1.76,0.912006445
AT1G77810,1,Non WGDs,0.0352,0.1851,0.1902,NA,87.4861533,0.247766442,2552,10,92.1,112,337,0.4,42.97800338,3,1.75,0.912800619
AT1G77840,1,Early WGDs,0.0277,0.2342,0.1181,0.082,573.7097656,0.206512559,2100,1,312,288,186,0.411,45.20547945,4,1.75,0.913383643
AT1G77855,1,Non WGDs,0.0155,0.1349,0.1152,0.129,101.0053212,0.188859165,1353,1,191,130,78,0.428,47.48427673,1,1.74,0.91398754
AT1G77860,1,Non WGDs,0.0292,0.0775,0.3774,0.248,7.82492008,0.482921069,1816,4,190,NA,NA,0.431,44.60227273,1,1.74,0.914416533
AT1G77870,1,Recent WGDs,0.0285,0.1474,0.1936,0.488,78.29525123,0.334813285,812,2,87.5,99,175,0.391,38.84297521,3,1.73,0.914558296
AT1G77890,1,Non WGDs,0.0308,0.1088,0.2832,0.005,12.08482081,0.258793643,4038,13,135.6153846,261,631,0.399,42.66088214,1,1.73,0.915195894
AT1G77920,1,Recent WGDs,0.0117,0.1855,0.0632,0.026,218.921204,0.407666143,2621,8,99.375,463,256,0.358,40.92140921,2,1.73,0.915630872
AT1G77940,1,Non WGDs,0.0041,0.1532,0.0269,0.015,3874.348315,0.078153909,1486,4,208.5,94,219,0.514,43.36283186,3,1.72,0.915998858
AT1G77980,1,Recent WGDs,0.018,0.1799,0.1003,0.346,50.86186935,0.763416653,2227,9,95.22222222,NA,371,0.381,42.54254254,4,1.71,0.916854487
AT1G78020,1,Recent WGDs,0.0203,0.1242,0.1638,0.289,1383.305995,0.241654017,1063,1,216,94,264,0.411,51.94274029,NA,1.7,0.91857506
AT1G78040,1,Non WGDs,0.0399,0.1957,0.2037,0.185,9237.849769,0.06443786,1270,1,332,155,267,0.491,43.79844961,3,1.7,0.919119483
AT1G78050,1,Recent WGDs,0.0201,0.2098,0.0957,0.198,112.8357244,0.352817756,2175,7,88.85714286,391,163,0.479,42.24224224,2,1.69,0.919301045
AT1G78060,1,Early WGDs,0.0278,0.1783,0.1558,0.012,464.3783347,0.267217335,3246,4,192.25,56,117,0.458,46.70138889,1,1.69,0.919487207
AT1G78070,1,Early WGDs,0.0322,0.2186,0.1474,0.202,188.7400714,0.312780822,NA,NA,NA,NA,NA,0.396,NA,1,1.69,0.91989574
AT1G78100,1,Recent WGDs,0.0264,0.15,0.1757,0.054,250.0593072,0.19363356,1318,NA,NA,112,201,0.464,51.44278607,1,1.67,0.92226083
AT1G78110,1,Recent WGDs,0.0124,0.1603,0.0776,0.091,86.81029855,0.338728296,1508,NA,NA,52,427,0.434,43.44023324,1,1.67,0.92255887
AT1G78130,1,Early WGDs,0.0176,0.1363,0.1289,0.32,70.11179849,0.280823618,1763,2,85.5,31,88,0.398,45.34962661,1,1.66,0.923202191
AT1G78150,1,Early WGDs,0.0179,0.1768,0.1011,0.051,538.6134501,0.121738326,1880,4,130.25,134,400,0.452,45.81818182,1,1.66,0.923551998
AT1G78170,1,Recent WGDs,0.0416,0.1369,0.3042,0.016,164.8452244,0.35869085,1036,1,116,101,153,0.341,41.29129129,1,1.66,0.924216453
AT1G78172,1,Singletons,0.0513,0.1582,0.3241,1,101.0053212,0.188859165,392,1,104,NA,NA,0.367,46.52777778,1,1.66,0.924304354
AT1G78180,1,Early WGDs,0.023,0.1284,0.1789,0.506,173.1028336,0.194220652,1728,3,116.6666667,6,115,0.476,46.53937947,2,1.65,0.92445371
AT1G78190,1,Non WGDs,0.0518,0.2029,0.2555,0.415,101.0053212,0.188859165,375,NA,NA,NA,NA,0.449,45.86666667,1,1.65,0.924534878
AT1G78200,1,Non WGDs,0.0185,0.1944,0.0952,0.446,319.5851667,0.156743523,1510,4,79,128,214,0.383,40.37558685,1,1.65,0.924703909
AT1G78210,1,Non WGDs,0.0238,0.1999,0.1189,0.112,741.7405822,0.272423131,1660,2,265,81,104,0.424,45.71428571,1,1.65,0.924890221
AT1G78220,1,Non WGDs,0.0489,0.1162,0.4211,0.195,7.807376204,0.394493821,1461,4,180.75,NA,NA,0.366,36.04336043,NA,1.65,0.925106719
AT1G78240,1,Non WGDs,0.013,0.1221,0.1064,0.095,593.8463894,0.112623615,3656,8,112,361,344,0.404,43.40632603,4,1.65,0.925708409
AT1G78260,1,Recent WGDs,0.0172,0.1019,0.1685,0.016,101.1857061,0.313746544,3531,5,400.2,332,334,0.402,48.61111111,1,1.64,0.926774813
AT1G78270,1,Non WGDs,0.0399,0.1646,0.2422,0.254,112.4853717,0.290901062,1855,1,63,194,128,0.404,47.4829932,1,1.64,0.926977396
AT1G78300,1,Non WGDs,0.0107,0.1427,0.0748,0.017,1506.235809,0.140100865,1715,3,130,212,333,0.452,49.74358974,1,1.63,0.927801082
AT1G78340,1,Non WGDs,0.008,0.2079,0.0385,0.135,176.917518,0.602834918,972,1,95,66,154,0.442,45.20547945,2,1.62,0.928620541
AT1G78400,1,Non WGDs,0.0708,0.1471,0.4814,0.131,5.786110981,0.407296477,1402,2,93.5,NA,NA,0.451,46.25514403,1,1.61,0.930532662
AT1G78410,1,Non WGDs,0.0478,0.0786,0.6089,0.03,72.85890841,0.342539008,660,NA,NA,146,187,0.49,49.5412844,1,1.61,0.930825128
AT1G78440,1,Non WGDs,0.0429,0.1865,0.23,0.471,18.37859525,0.437882222,1453,2,114.5,61,173,0.453,43.43434343,2,1.6,0.931535067
AT1G78510,1,Recent WGDs,0.0327,0.2068,0.1581,0.181,146.0383446,0.248206497,2133,5,106.6,254,125,0.393,45.37264537,2,1.59,0.933323416
AT1G78520,1,Non WGDs,0.0464,0.0974,0.4771,0.125,101.0053212,0.188859165,681,3,111,NA,NA,0.455,41.66666667,1,1.59,0.933480964
AT1G78530,1,Non WGDs,0.0127,0.1668,0.0765,0.184,15.53521365,0.444932891,1621,4,85,28,185,0.385,39.98127341,3,1.59,0.933599537
AT1G78540,1,Recent WGDs,0.0301,0.0989,0.3047,NA,101.0053212,0.188859165,3672,10,132.4,191,150,0.409,41.75386148,4,1.59,0.93381884
AT1G78550,1,Non WGDs,0.0315,0.1272,0.2473,NA,128.3908065,0.129316164,1561,3,86.33333333,127,104,0.404,41.17647059,NA,1.59,0.934027295
AT1G78560,1,Non WGDs,0.0214,0.1309,0.1638,0.031,165.6875,0.108318896,2220,6,118.8333333,60,241,0.392,46.35157546,1,1.59,0.934185105
AT1G78570,1,Early WGDs,0.0093,0.1331,0.0697,0.341,1701.751701,0.192173323,2790,2,163.5,222,231,0.47,45.42288557,3,1.59,0.934435977
AT1G78580,1,Recent WGDs,0.0084,0.1665,0.0506,0.075,209.9249573,0.174208476,8573,17,316.6470588,206,155,0.381,44.89218805,5,1.58,0.934722496
AT1G78610,1,Early WGDs,0.0099,0.1816,0.0548,0.028,85.30210642,0.228828605,3097,4,82.5,NA,196,0.396,43.29054842,NA,1.58,0.935896064
AT1G78620,1,Singletons,0.0113,0.1034,0.1094,NA,500.1162331,0.129679445,2924,4,217,36,991,0.399,44.80077745,NA,1.58,0.936205325
AT1G78650,1,Singletons,0.0454,0.1096,0.4145,0.533,78.08142892,0.267605335,2713,7,141.7142857,58,133,0.388,43.52941176,1,1.57,0.936911336
AT1G78660,1,Non WGDs,0.048,0.2166,0.2215,NA,374.2084406,0.228581492,2492,10,117,90,185,0.447,43.17096466,2,1.57,0.937117922
AT1G78700,1,Non WGDs,0.006,0.1692,0.0352,0.059,100.9631054,0.13029373,2334,1,708,505,143,0.413,49.0797546,1,1.56,0.938141872
AT1G78710,1,Early WGDs,0.0378,0.1527,0.2473,0.216,6.961372389,0.547965233,1850,4,192.5,NA,NA,0.386,44.16666667,1,1.56,0.938361511
AT1G78730,1,Non WGDs,0.1055,0.1871,0.564,0.041,101.0053212,0.188859165,1753,3,113,NA,151,0.387,41.4885194,1,1.56,0.938736155
